index,open,high,low,close,volume
2020-12-08 08:22:00,321.3170,321.4540,321.2220,321.3680,1000
2020-12-08 08:18:00,321.1930,321.3210,321.1270,321.2640,100
2020-12-08 08:12:00,321.1080,321.2360,321.0410,321.1780,100
2020-12-08 08:10:00,320.9270,321.0550,320.8610,320.9980,100
2020-12-08 07:57:00,320.8890,321.0360,320.8130,320.9790,1200
2020-12-08 07:54:00,320.9750,321.1210,320.9080,321.0640,2200
2020-12-08 07:45:00,320.8800,321.0070,320.8130,320.9500,200
2020-12-08 07:29:00,320.6700,320.7980,320.6040,320.7410,100
2020-12-08 07:17:00,320.6130,320.7410,320.5470,320.6840,500
2020-12-08 07:15:00,320.6990,320.8270,320.6320,320.7690,100
2020-12-08 07:09:00,320.5180,320.6460,320.4420,320.5790,300
2020-12-08 07:07:00,320.5560,320.6840,320.4900,320.6270,100
2020-12-08 07:02:00,320.3570,320.5220,320.2900,320.4650,200
2020-12-08 07:00:00,320.3850,320.5320,320.3190,320.4750,270
2020-12-08 06:59:00,320.3000,320.4270,320.1760,320.3130,900
2020-12-08 06:49:00,320.7650,320.8930,320.6420,320.7790,600
2020-12-08 06:15:00,320.9650,321.0930,320.8890,321.0260,700
2020-12-08 06:09:00,320.8990,321.0260,320.8320,320.9690,350
2020-12-08 05:27:00,321.3170,321.4450,321.2500,321.3880,100
2020-12-08 04:51:00,321.4020,321.5300,321.3360,321.4730,400
2020-12-08 04:09:00,322.0870,322.2150,322.0200,322.1580,400
2020-12-08 04:08:00,322.1540,322.2820,322.0110,322.1480,300
2020-12-08 04:07:00,321.9060,322.0730,321.8400,322.0150,300
2020-12-07 19:50:00,321.7350,321.8630,321.6690,321.8060,500
2020-12-07 19:29:00,321.5170,321.6540,321.4310,321.5680,1400
2020-12-07 19:13:00,321.4980,321.6260,321.4310,321.5680,100
2020-12-07 19:08:00,321.4210,321.5490,321.3450,321.4920,1500
2020-12-07 19:00:00,321.6690,321.7970,321.6020,321.7390,200
2020-12-07 18:52:00,321.7070,321.8350,321.6400,321.7770,200
2020-12-07 18:18:00,321.7070,321.8350,321.6400,321.7770,200
2020-12-07 18:14:00,321.7160,321.8440,321.6400,321.7770,300
2020-12-07 17:46:00,321.7540,321.8820,321.6880,321.8250,122
2020-12-07 17:17:00,321.7160,321.8440,321.6500,321.7870,109
2020-12-07 17:10:00,321.5830,321.7110,321.5160,321.6540,124
2020-12-07 16:58:00,321.5070,321.6450,321.4400,321.5780,1400
2020-12-07 16:55:00,321.7350,321.8630,321.6690,321.8060,152
2020-12-07 16:51:00,321.7350,321.8630,321.6690,321.8060,100
2020-12-07 16:43:00,322.2390,322.3680,322.1530,322.3000,2600
2020-12-07 16:32:00,322.3150,322.4910,322.2480,322.4340,3666
2020-12-07 16:14:00,322.3250,322.4530,322.2390,322.3770,19833
2020-12-07 16:06:00,322.2010,322.3290,322.1340,322.2720,100
2020-12-07 16:00:00,322.4960,322.6910,322.3430,322.4810,60455
2020-12-07 15:59:00,322.4580,322.7000,322.3150,322.5760,26332
2020-12-07 15:58:00,322.3630,322.5580,322.2200,322.5000,4077
2020-12-07 15:57:00,322.3150,322.4440,322.1730,322.3140,899
2020-12-07 15:56:00,322.2200,322.4630,322.0960,322.3860,4332
2020-12-07 15:55:00,322.1440,322.4440,322.0770,322.2910,8873
2020-12-07 15:54:00,321.9110,322.2530,321.8440,322.1960,7203
2020-12-07 15:53:00,321.8920,322.0630,321.7690,321.9900,11020
2020-12-07 15:52:00,321.7540,322.0350,321.6880,321.9770,7256
2020-12-07 15:51:00,321.6590,321.9060,321.5640,321.8490,1232
2020-12-07 15:50:00,321.4020,321.8440,321.3360,321.6540,13041
2020-12-07 15:49:00,321.4500,321.6920,321.2220,321.4970,24806
2020-12-07 15:48:00,321.7160,321.8440,321.3930,321.5400,4397
2020-12-07 15:47:00,321.5830,321.8720,321.4590,321.7870,5447
2020-12-07 15:46:00,321.6690,321.8250,321.5540,321.6970,3029
2020-12-07 15:45:00,321.6780,321.9010,321.5540,321.7200,7931
2020-12-07 15:44:00,321.6690,321.8540,321.4780,321.7580,10650
2020-12-07 15:43:00,321.7830,321.9300,321.6110,321.7490,4569
2020-12-07 15:42:00,321.8300,322.0410,321.7260,321.8830,1723
2020-12-07 15:41:00,322.0300,322.1580,321.7830,321.9200,6548
2020-12-07 15:40:00,322.1350,322.3100,321.9920,322.1370,3235
2020-12-07 15:39:00,322.2190,322.3470,322.0490,322.2150,4987
2020-12-07 15:38:00,322.2300,322.3870,322.1490,322.3290,713
2020-12-07 15:37:00,322.2950,322.4230,322.1630,322.3390,5486
2020-12-07 15:36:00,322.3770,322.5050,322.1910,322.3840,776
2020-12-07 15:35:00,322.3440,322.4720,322.2280,322.3770,2469
2020-12-07 15:34:00,322.3720,322.5100,322.3030,322.4480,1284
2020-12-07 15:33:00,322.2680,322.4630,322.2010,322.4050,1383
2020-12-07 15:32:00,322.3250,322.4820,322.1910,322.4240,11243
2020-12-07 15:31:00,322.2010,322.4150,322.1250,322.3580,2767
2020-12-07 15:30:00,322.2000,322.3680,322.1300,322.3000,5363
2020-12-07 15:29:00,322.1690,322.3010,322.0770,322.2380,4042
2020-12-07 15:28:00,322.1540,322.2920,322.0300,322.2350,2622
2020-12-07 15:27:00,322.2090,322.3640,322.1060,322.2430,2595
2020-12-07 15:26:00,322.1250,322.3200,322.0390,322.2570,2259
2020-12-07 15:25:00,322.1160,322.2820,322.0490,322.2130,8898
2020-12-07 15:24:00,322.0870,322.2150,321.9940,322.1480,629
2020-12-07 15:23:00,322.0440,322.2110,321.9770,322.1530,2000
2020-12-07 15:22:00,322.0730,322.2060,321.9730,322.1100,4981
2020-12-07 15:21:00,322.0020,322.2060,321.9360,322.1480,3266
2020-12-07 15:20:00,322.0210,322.1870,321.9350,322.1200,4946
2020-12-07 15:19:00,321.9970,322.1580,321.8970,322.0340,14265
2020-12-07 15:18:00,321.9540,322.1200,321.8780,322.0440,21276
2020-12-07 15:17:00,321.9820,322.1110,321.8490,322.0150,1296
2020-12-07 15:16:00,321.8490,322.1110,321.7730,322.0420,1488
2020-12-07 15:15:00,321.7500,321.9870,321.6740,321.9300,4338
2020-12-07 15:14:00,321.8020,321.9300,321.6500,321.8060,7324
2020-12-07 15:13:00,321.8680,321.9970,321.7260,321.8730,1194
2020-12-07 15:12:00,321.8300,321.9780,321.7450,321.9150,1083
2020-12-07 15:11:00,321.7920,321.9770,321.6970,321.8340,742
2020-12-07 15:10:00,321.8230,321.9540,321.6970,321.8570,1220
2020-12-07 15:09:00,321.7780,321.9200,321.6930,321.8520,1988
2020-12-07 15:08:00,321.7850,321.9870,321.7090,321.9300,5342
2020-12-07 15:07:00,321.8300,321.9580,321.6590,321.8110,2011
2020-12-07 15:06:00,321.8870,322.0160,321.6880,321.8540,1273
2020-12-07 15:05:00,321.8970,322.0350,321.8110,321.9580,707
2020-12-07 15:04:00,321.8730,322.0820,321.8060,321.9620,3085
2020-12-07 15:03:00,321.7920,322.0730,321.7260,322.0150,2098
2020-12-07 15:02:00,321.8490,321.9780,321.6920,321.8540,2981
2020-12-07 15:01:00,321.7260,321.9780,321.6590,321.9200,2175
2020-12-07 15:00:00,321.9050,322.0330,321.6880,321.8250,1436
2020-12-07 14:59:00,321.8870,322.0160,321.7350,321.8920,2228
2020-12-07 14:58:00,321.9440,322.0730,321.8780,322.0150,250
2020-12-07 14:57:00,321.9350,322.0920,321.8590,322.0340,900
2020-12-07 14:56:00,321.9250,322.0870,321.8560,321.9930,2005
2020-12-07 14:55:00,321.9540,322.1340,321.8400,322.0760,1186
2020-12-07 14:54:00,322.1160,322.2440,321.9250,322.0720,2137
2020-12-07 14:53:00,322.1250,322.2820,322.0580,322.2100,1470
2020-12-07 14:52:00,322.0490,322.2530,321.9740,322.1850,3147
2020-12-07 14:51:00,322.1250,322.2530,322.0200,322.1580,6249
2020-12-07 14:50:00,322.0870,322.2330,322.0200,322.1760,1206
2020-12-07 14:49:00,322.0540,322.2340,321.9870,322.1650,1262
2020-12-07 14:48:00,322.1440,322.2820,322.0010,322.1390,1900
2020-12-07 14:47:00,322.1330,322.2720,322.0490,322.1860,2062
2020-12-07 14:46:00,322.1070,322.2700,322.0300,322.2120,22169
2020-12-07 14:45:00,322.1110,322.2630,322.0390,322.1770,7808
2020-12-07 14:44:00,322.0970,322.2530,322.0300,322.1860,2403
2020-12-07 14:43:00,322.1060,322.2340,321.9920,322.1290,1860
2020-12-07 14:42:00,322.0970,322.2530,322.0200,322.1750,2327
2020-12-07 14:41:00,322.0590,322.2060,321.9920,322.1480,1811
2020-12-07 14:40:00,322.0500,322.1870,321.9730,322.1290,1360
2020-12-07 14:39:00,322.0670,322.1950,321.9770,322.1150,666
2020-12-07 14:38:00,322.0110,322.1960,321.9440,322.1340,2251
2020-12-07 14:37:00,322.0400,322.1770,321.9440,322.0820,7667
2020-12-07 14:36:00,322.0110,322.1870,321.9440,322.1290,1683
2020-12-07 14:35:00,321.9490,322.1490,321.8820,322.0720,7368
2020-12-07 14:34:00,322.0060,322.1340,321.9250,322.0630,650
2020-12-07 14:33:00,322.0680,322.2040,321.9540,322.0910,1328
2020-12-07 14:32:00,322.0440,322.1960,321.9380,322.1390,1115
2020-12-07 14:31:00,321.9970,322.1670,321.9300,322.1090,235
2020-12-07 14:30:00,321.9060,322.0350,321.8400,321.9770,590
2020-12-07 14:29:00,321.8640,322.0170,321.7780,321.9600,891
2020-12-07 14:28:00,321.8970,322.0250,321.8300,321.9680,100
2020-12-07 14:27:00,321.8780,322.0060,321.7830,321.9390,437
2020-12-07 14:26:00,321.8970,322.0620,321.8210,322.0040,733
2020-12-07 14:25:00,321.8590,321.9870,321.7920,321.9300,100
2020-12-07 14:24:00,321.8970,322.0630,321.8300,321.9770,819
2020-12-07 14:23:00,321.9040,322.0730,321.8370,321.9870,554
2020-12-07 14:22:00,321.8110,321.9780,321.7450,321.9200,200
2020-12-07 14:21:00,321.8160,321.9440,321.7260,321.8630,305
2020-12-07 14:20:00,321.7530,321.9290,321.6870,321.8720,1377
2020-12-07 14:19:00,321.7310,321.8620,321.6640,321.8050,244
2020-12-07 14:18:00,321.7730,321.9350,321.7070,321.8730,787
2020-12-07 14:17:00,321.7070,321.9300,321.6400,321.8720,1331
2020-12-07 14:16:00,321.5450,321.7780,321.4690,321.7200,1177
2020-12-07 14:15:00,321.6920,321.8210,321.5160,321.6540,2900
2020-12-07 14:14:00,321.6880,321.8720,321.6070,321.8000,6571
2020-12-07 14:13:00,321.7260,321.8630,321.6290,321.7770,2767
2020-12-07 14:12:00,321.7350,321.8630,321.6350,321.7730,284
2020-12-07 14:10:00,321.8680,322.0060,321.7750,321.9390,943
2020-12-07 14:09:00,321.7540,322.0160,321.6800,321.9580,3017
2020-12-07 14:08:00,321.7690,321.9300,321.6930,321.8440,2214
2020-12-07 14:07:00,321.7400,321.8870,321.6730,321.8300,2598
2020-12-07 14:06:00,321.6020,321.8630,321.5350,321.7970,1658
2020-12-07 14:05:00,321.5500,321.7440,321.4780,321.6870,978
2020-12-07 14:04:00,321.4690,321.7240,321.4020,321.6670,2720
2020-12-07 14:03:00,321.6120,321.7400,321.3830,321.5210,4018
2020-12-07 14:02:00,321.6590,321.8160,321.5260,321.7110,2746
2020-12-07 14:01:00,321.7350,321.9010,321.5440,321.7200,4858
2020-12-07 14:00:00,321.8490,321.9780,321.6540,321.7920,3270
2020-12-07 13:59:00,321.9060,322.0440,321.8140,321.9520,4557
2020-12-07 13:58:00,321.9730,322.1200,321.8510,321.9950,3214
2020-12-07 13:57:00,321.8920,322.0540,321.8060,321.9960,1378
2020-12-07 13:56:00,321.9250,322.0540,321.8590,321.9960,906
2020-12-07 13:55:00,321.9110,322.0410,321.8440,321.9840,873
2020-12-07 13:54:00,321.9080,322.0540,321.8300,321.9870,2748
2020-12-07 13:53:00,321.8210,321.9490,321.7280,321.8920,751
2020-12-07 13:52:00,321.8200,321.9490,321.7530,321.8920,1251
2020-12-07 13:51:00,321.8590,321.9870,321.7560,321.8930,1749
2020-12-07 13:50:00,321.8160,321.9910,321.7470,321.9330,888
2020-12-07 13:49:00,321.7730,321.9300,321.7070,321.8540,3275
2020-12-07 13:48:00,321.7350,321.9200,321.6540,321.8630,2158
2020-12-07 13:47:00,321.8020,321.9300,321.6990,321.8540,2619
2020-12-07 13:46:00,321.6070,321.9200,321.5350,321.8630,2107
2020-12-07 13:45:00,321.6880,321.8160,321.5070,321.6820,8757
2020-12-07 13:44:00,321.7350,321.8630,321.5920,321.7580,1869
2020-12-07 13:43:00,321.7540,321.8820,321.5350,321.7390,6212
2020-12-07 13:42:00,321.8400,321.9870,321.7070,321.8440,3013
2020-12-07 13:41:00,321.9070,322.0350,321.8020,321.9770,5257
2020-12-07 13:40:00,321.9850,322.1130,321.8590,322.0340,905
2020-12-07 13:39:00,322.0250,322.1530,321.9350,322.0720,1620
2020-12-07 13:38:00,322.0010,322.1570,321.8870,322.0960,1975
2020-12-07 13:37:00,322.0870,322.2150,321.9630,322.1100,1615
2020-12-07 13:36:00,322.0490,322.2050,321.9820,322.1470,726
2020-12-07 13:35:00,322.1110,322.2910,322.0440,322.2340,1542
2020-12-07 13:34:00,322.0780,322.2520,322.0110,322.1670,760
2020-12-07 13:33:00,322.0780,322.2340,322.0060,322.1470,2545
2020-12-07 13:32:00,322.0970,322.2250,322.0010,322.1390,885
2020-12-07 13:31:00,322.0250,322.2440,321.9580,322.1770,635
2020-12-07 13:30:00,321.9830,322.2150,321.9160,322.1430,3141
2020-12-07 13:29:00,322.0400,322.1730,321.9730,322.1160,480
2020-12-07 13:28:00,321.9950,322.2250,321.9160,322.1480,1899
2020-12-07 13:27:00,322.0970,322.2460,322.0200,322.1580,560
2020-12-07 13:26:00,322.1250,322.2530,322.0580,322.1960,818
2020-12-07 13:25:00,322.1140,322.2420,322.0440,322.1820,548
2020-12-07 13:24:00,322.0780,322.2510,322.0010,322.1870,1500
2020-12-07 13:23:00,322.0590,322.1960,321.9820,322.1200,2283
2020-12-07 13:22:00,321.9730,322.1870,321.9060,322.1200,3958
2020-12-07 13:21:00,321.9630,322.1110,321.8970,322.0520,8595
2020-12-07 13:20:00,321.9060,322.0340,321.8390,321.9770,382
2020-12-07 13:19:00,321.9730,322.1200,321.8590,322.0230,3289
2020-12-07 13:18:00,321.9250,322.0870,321.8590,322.0290,750
2020-12-07 13:17:00,321.8590,322.0730,321.7920,322.0030,636
2020-12-07 13:16:00,321.8300,322.0150,321.7450,321.9480,1330
2020-12-07 13:15:00,321.7350,321.9870,321.6690,321.9290,3149
